locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
532185	NP_987134.1	45357577	550	25230	24061	-	MMP0014	MMP0014	conserved hypothetical protein (NCBI)	COG585	S	Uncharacterized conserved protein	TIGR00094 tRNA pseudouridine synthase, TruD family	Protein synthesis:tRNA and rRNA base modification	GO:0031119,GO:0003723,GO:0004730,GO:0016439	5.4.99.12	tRNA-pseudouridine synthase I.
532186	NP_987135.1	45357578	550	26046	25243	-	MMP0015	MMP0015	conserved hypothetical protein (NCBI)								
532187	NP_987136.1	45357579	550	26552	26061	-	MMP0016	MMP0016	Conserved hypothetical protein (NCBI)	COG1374	J	Protein involved in ribosomal biogenesis, contains PUA domain					
532188	NP_987137.1	45357580	550	27725	26673	-	MMP0017	MMP0017	conserved hypothetical protein (NCBI)	COG502	H	Biotin synthase and related enzymes			GO:0008152,GO:0003824,GO:0051536		
532189	NP_987138.1	45357581	550	27798	28640	+	MMP0018	MMP0018	Transcriptional regulator, LysR Family Member (NCBI)						GO:0006355,GO:0005622,GO:0003700,GO:0043565		
532190	NP_987139.1	45357582	550	28897	28670	-	MMP0019	MMP0019	hypothetical protein (NCBI)								
532191	NP_987140.1	45357583	550	29414	28989	-	MMP0020	MMP0020	conserved hypothetical protein (NCBI)	COG864	K	Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain			GO:0006355,GO:0003677		
532192	NP_987141.1	45357584	550	29531	30406	+	MMP0021	MMP0021	conserved hypothetical archaeal protein (NCBI)	COG4079	S	Uncharacterized protein conserved in archaea					
532193	NP_987142.1	45357585	550	30746	30411	-	MMP0022	MMP0022	Conserved hypothetical protein (NCBI)	COG1430	S	Uncharacterized conserved protein					
532194	NP_987143.1	45357586	550	31567	30743	-	MMP0023	MMP0023	conserved hypothetical protein (NCBI)	COG616	OU	Periplasmic serine proteases (ClpP class)					
532195	NP_987144.1	45357587	550	31747	32862	+	MMP0024	MMP0024	putative AAA superfamily ATPase, similar to FtsH (NCBI)	COG1223	R	Predicted ATPase (AAA+ superfamily)			GO:0006281,GO:0006310,GO:0005524,GO:0017111,GO:0009378		
532196	NP_987145.1	45357588	550	33188	32916	-	MMP0025	MMP0025	hypothetical protein (NCBI)	COG393	S	Uncharacterized conserved protein					
532197	NP_987146.1	45357589	550	36651	33256	-	MMP0026	DP2	DNA-directed DNA polymerase II large subunit (NCBI)	COG1933	L	Archaeal DNA polymerase II, large subunit	TIGR00354 DNA polymerase II, large subunit DP2 [polC]	DNA metabolism:DNA replication, recombination, and repair	GO:0006308,GO:0006260,GO:0016449,GO:0019984,GO:0003677,GO:0003893,GO:0016450,GO:0003889,GO:0003894,GO:0015999,GO:0016000,GO:0016451,GO:0003890,GO:0003895,GO:0016448,GO:0016452,GO:0003891	2.7.7.7	DNA-directed DNA polymerase.
5451343			550	37057	36828	-	RNA_45	RNaseP	RNA component of RNaseP (RefSeq)								
5451344			550	37233	37119	-	RNA_48	rnnC5S	5S ribosomal RNA (RefSeq)								
5451345			550	40251	37295	-	RNA_42	rrnC23S	23S ribosomal RNA (RefSeq)								
5451346			550	40430	40358	-	RNA_36	tRNA-Ala2	tRNA-Ala (RefSeq)								
5451347			550	41925	40534	-	RNA_44	rrnC16S	16S ribosomal RNA (RefSeq)								
532203	NP_987147.1	45357590	550	43188	42181	-	MMP0027	MMP0027	putative potassium channel protein (NCBI)	COG569	P	K+ transport systems, NAD-binding component			GO:0006813,GO:0008324		
532204	NP_987148.1	45357591	550	43261	44712	+	MMP0028	MMP0028	cobyric acid synthase related protein (NCBI)	COG1492	H	Cobyric acid synthase			GO:0009236,GO:0003824		
532205	NP_987149.1	45357592	550	45415	44777	-	MMP0029	MMP0029	conserved hypothetical archeal protein (NCBI)								
532206	NP_987150.1	45357593	550	45639	47657	+	MMP0030	MMP0030	DNA replication protein; MCM family; putative (NCBI)	COG1241	L	Predicted ATPase involved in replication control, Cdc46/Mcm family			GO:0006270,GO:0003677,GO:0005524,GO:0008094	3.6.1.-	
532207	NP_987151.1	45357594	550	47673	48755	+	MMP0031	MMP0031	conserved hypothetical archeal protein (NCBI)								
532208	NP_987152.1	45357595	550	49909	49388	-	MMP0032	MMP0032	ArsR family member (NCBI)						GO:0006355,GO:0005622,GO:0003700		
532209	NP_987153.1	45357596	550	50520	51746	+	MMP0033	MMP0033	LysR family member (NCBI)	COG1474	LO	Cdc6-related protein, AAA superfamily ATPase			GO:0006355,GO:0005622,GO:0000166,GO:0017111,GO:0003700		
532210	NP_987154.1	45357597	550	51767	52714	+	MMP0034	MMP0034	conserved hypothetical protein (NCBI)	COG1469	S	Uncharacterized conserved protein	TIGR00294 TIGR00294 family protein	Hypothetical proteins:Conserved	GO:0006144,GO:0004846		
532211	NP_987155.1	45357598	550	52740	53789	+	MMP0035	MMP0035	conserved hypothetical protein (NCBI)	COG2232	R	Predicted ATP-dependent carboligase related to biotin carboxylase			GO:0005524,GO:0003824		
532212	NP_987156.1	45357599	550	53793	54350	+	MMP0036	tfe	Transcription factor E (NCBI)	COG1675	K	Transcription initiation factor IIE, alpha subunit	TIGR00373 TIGR00373 family protein	Hypothetical proteins:Conserved	GO:0006367,GO:0005673,GO:0003702		
532213	NP_987157.1	45357600	550	54361	54948	+	MMP0037	MMP0037	hypothetical protein; HD domain (NCBI)				TIGR00277 uncharacterized domain HDIG		GO:0003824		
532214	NP_987158.1	45357601	550	55871	54975	-	MMP0038	MMP0038	conserved hypothetical protein (NCBI)	COG4965	U	Flp pilus assembly protein TadB			GO:0009306,GO:0016020		
532215	NP_987159.1	45357602	550	56934	55876	-	MMP0039	MMP0039	conserved hypothetical protein (NCBI)						GO:0009306,GO:0016020		
532216	NP_987160.1	45357603	550	58595	56946	-	MMP0040	MMP0040	type II secretion system protein; putative; subunit 1 (NCBI)	COG4962	U	Flp pilus assembly protein, ATPase CpaF			GO:0006810,GO:0005622,GO:0005524,GO:0017111		
532217	NP_987161.1	45357604	550	59624	58605	-	MMP0041	tfb	transcription initiation factor B (NCBI)	COG1405	K	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB			GO:0006355,GO:0006352,GO:0005667,GO:0003700,GO:0005515,GO:0008270		
532218	NP_987162.1	45357605	550	59924	59643	-	MMP0042	MMP0042	conserved hypothetical protein (NCBI)	COG3277	J	RNA-binding protein involved in rRNA processing			GO:0006364,GO:0005732,GO:0019843		
532219	NP_987163.1	45357606	550	60428	61495	+	MMP0043	MMP0043	isopentenyl-diphosphate delta-isomerase related protein (NCBI)	COG1304	C	L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases	TIGR02151 isopentenyl-diphosphate delta-isomerase, type 2 [fni]	Biosynthesis of cofactors, prosthetic groups, and carriers:Other	GO:0006118,GO:0008299,GO:0005737,GO:0004452,GO:0010181,GO:0016491	5.3.3.2	Isopentenyl-diphosphate Delta-isomerase.
532220	NP_987164.1	45357607	550	61568	62914	+	MMP0044	MMP0044	conserved hypothetical protein (NCBI)	COG595	R	Predicted hydrolase of the metallo-beta-lactamase superfamily			GO:0016787		
532221	NP_987165.1	45357608	550	62928	63881	+	MMP0045	idsA	bifunctional short chain isoprenyl diphosphate synthase (NCBI)	COG142	H	Geranylgeranyl pyrophosphate synthase			GO:0008299		
532222	NP_987166.1	45357609	550	63932	64384	+	MMP0046	MMP0046	conserved hypothetical protein (NCBI)	COG4072	S	Uncharacterized protein conserved in archaea					
532223	NP_987167.1	45357610	550	65498	64389	-	MMP0047	MMP0047	conserved hypothetical protein (NCBI)	COG1032	C	Fe-S oxidoreductase	TIGR04013 B12-binding domain/radical SAM domain protein, MJ_1487 family	Unknown function:Enzymes of unknown specificity	GO:0008152,GO:0003824,GO:0051536,GO:0031419,GO:0046872		
532224	NP_987168.1	45357611	550	65556	65828	+	MMP0048	MMP0048	conserved hypothetical protein (NCBI)								
532225	NP_987169.1	45357612	550	65867	66322	+	MMP0049	MMP0049	carbonic anhydrase (gamma family Zn(II)-dependent enzymes) (NCBI)	COG663	R	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily			GO:0016740,GO:0008415		
532226	NP_987170.1	45357613	550	66371	66784	+	MMP0050	MMP0050	riboflavin synthase, beta subunit (6,7-dimethyl-8-ribityllumazine synthase) (NCBI)	COG54	H	Riboflavin synthase beta-chain	TIGR00114 6,7-dimethyl-8-ribityllumazine synthase [ribH]	Biosynthesis of cofactors, prosthetic groups, and carriers:Riboflavin, FMN, and FAD	GO:0009231,GO:0009349,GO:0004746	2.5.1.-,6.3.3.-	,
532227	NP_987171.1	45357614	550	66822	67112	+	MMP0051	hisE	Phosphoribosyl-ATP pyrophosphatase (NCBI)	COG140	E	Phosphoribosyl-ATP pyrophosphohydrolase	TIGR03188 phosphoribosyl-ATP diphosphatase [hisE]	Amino acid biosynthesis:Histidine family	GO:0000105,GO:0004636	3.6.1.31	Phosphoribosyl-ATP diphosphatase.
532228	NP_987172.1	45357615	550	68025	67114	-	MMP0052	MMP0052	Conserved Hypothetical protein with 2 CBS domains (NCBI)	COG2524	K	Predicted transcriptional regulator, contains C-terminal CBS domains			GO:0006821,GO:0008152,GO:0016020,GO:0003824,GO:0005247		
532229	NP_987173.1	45357616	550	68896	68156	-	MMP0053	MMP0053	Protein of unknown function DUF34 (NCBI)	COG327	S	Uncharacterized conserved protein	TIGR00486 dinuclear metal center protein, YbgI/SA1388 family	Unknown function:General			
532230	NP_987174.1	45357617	550	69501	68893	-	MMP0054	MMP0054	conserved hypothetical protein (NCBI)	COG2890	J	Methylase of polypeptide chain release factors	TIGR00537 putative methylase	Unknown function:Enzymes of unknown specificity	GO:0008610,GO:0006479,GO:0005737,GO:0008276,GO:0008825		
532231	NP_987175.1	45357618	550	69994	69515	-	MMP0055	MMP0055	Conserved hypothetical Archael protein (NCBI)	COG2016	J	Predicted RNA-binding protein (contains PUA domain)	TIGR00451 uncharacterized domain 2,TIGR03684 arCOG04150 universal archaeal PUA-domain protein		GO:0003723		
532232	NP_987176.1	45357619	550	71181	70102	-	MMP0056	cofH	FO synthase, subunit CofH (NCBI)	COG1060	HR	Thiamine biosynthesis enzyme ThiH and related uncharacterized enzymes	TIGR00423 radical SAM domain protein, CofH subfamily,TIGR03551 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofH subunit [cofH]	Biosynthesis of cofactors, prosthetic groups, and carriers:Other	GO:0008152,GO:0003824,GO:0051536	2.5.1.-	
532233	NP_987177.1	45357620	550	72372	71296	-	MMP0057	cofH	FO synthase, subunit CofH (NCBI)	COG1060	HR	Thiamine biosynthesis enzyme ThiH and related uncharacterized enzymes	TIGR00423 radical SAM domain protein, CofH subfamily,TIGR03551 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofH subunit [cofH]	Biosynthesis of cofactors, prosthetic groups, and carriers:Other	GO:0008152,GO:0003824,GO:0051536	2.5.1.-	
532234	NP_987178.1	45357621	550	72602	73564	+	MMP0058	mer	coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin reductase (NCBI)	COG2141	C	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	TIGR03555 5,10-methylenetetrahydromethanopterin reductase [mer]	Energy metabolism:Methanogenesis	GO:0018537	1.5.99.11	5,10-methylenetetrahydromethanopterin reductase.
532235	NP_987179.1	45357622	550	74051	73629	-	MMP0059	MMP0059	conserved hypothetical archaeal protein (NCBI)								
532236	NP_987180.1	45357623	550	74390	74160	-	MMP0060	MMP0060	Ribosomal LX protein (NCBI)	COG2157	J	Ribosomal protein L20A (L18A)			GO:0006412,GO:0005840,GO:0003735		
532237	NP_987181.1	45357624	550	75092	74409	-	MMP0061	aIF6	Translation initiation factor IF6 (NCBI)	COG1976	J	Translation initiation factor 6 (eIF-6)	TIGR00323 putative translation initiation factor eIF-6	Protein synthesis:Translation factors	GO:0042256,GO:0043022		
532238	NP_987182.1	45357625	550	75380	75129	-	MMP0062	MMP0062	Ribosomal protein L31e (NCBI)	COG2097	J	Ribosomal protein L31E			GO:0006412,GO:0005840,GO:0003735		
532239	NP_987183.1	45357626	550	75475	76359	+	MMP0063	argB	Acetylglutamate kinase (NCBI)	COG548	E	Acetylglutamate kinase	TIGR00761 acetylglutamate kinase [argB]	Amino acid biosynthesis:Glutamate family	GO:0006561,GO:0006526,GO:0005737,GO:0004349,GO:0003991	2.7.2.8	Acetylglutamate kinase.
532240	NP_987184.1	45357627	550	76751	77089	+	MMP0064	glnK1	Nitrogen regulatory protein P-II (NCBI)	COG347	E	Nitrogen regulatory protein PII			GO:0006808,GO:0030234		
532241	NP_987185.1	45357628	550	77116	78342	+	MMP0065	amtB	Ammonia transporter (NCBI)	COG4	P	Ammonia permease	TIGR00836 ammonium transporter [amt]	Transport and binding proteins:Cations and iron carrying compounds	GO:0006810,GO:0016020,GO:0008519		
532242	NP_987186.1	45357629	550	78446	78784	+	MMP0066	glnB	Nitrogen regulatory protein P-II (NCBI)	COG347	E	Nitrogen regulatory protein PII			GO:0006808,GO:0030234		
532243	NP_987187.1	45357630	550	78986	79324	+	MMP0067	glnK2	Nitrogen regulatory protein P-II (NCBI)	COG347	E	Nitrogen regulatory protein PII			GO:0006808,GO:0030234		
532244	NP_987188.1	45357631	550	79353	80588	+	MMP0068	amtB	Ammonia transporter (NCBI)	COG4	P	Ammonia permease			GO:0006810,GO:0016020,GO:0008519		
532245	NP_987189.1	45357632	550	80649	80948	+	MMP0069	MMP0069	methyltransferase (NCBI)	COG3695	L	Predicted methylated DNA-protein cysteine methyltransferase	TIGR00589 methylated-DNA-[protein]-cysteine S-methyltransferase	DNA metabolism:DNA replication, recombination, and repair	GO:0006281,GO:0003908	2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase.
532246	NP_987190.1	45357633	550	81202	82140	+	MMP0070	MMP0070	tungsten containing formylmethanofruran dehydrogenase subunit C-related protein (NCBI)	COG2218	C	Formylmethanofuran dehydrogenase subunit C			GO:0008152,GO:0018493	1.2.99.5	Formylmethanofuran dehydrogenase.
5451348			550	82258	82185	-	RNA_35	tRNA-Thr2	tRNA-Thr (RefSeq)								
5451349			550	82518	82593	+	RNA_1	tRNA-Gln1	tRNA-Gln (RefSeq)								
532249	NP_987191.1	45357634	550	83734	82661	-	MMP0071	MMP0071	DNA primase, small subunit (NCBI)	COG1467	L	Eukaryotic-type DNA primase, catalytic (small) subunit	TIGR00335 putative DNA primase, eukaryotic-type, small subunit	DNA metabolism:DNA replication, recombination, and repair	GO:0006269,GO:0003896	2.7.7.-	
532250	NP_987192.1	45357635	550	83849	84829	+	MMP0072	MMP0072	conserved archaeal protein (NCBI)	COG1548	KG	Predicted transcriptional regulator/sugar kinase	TIGR03123 probable H4MPT-linked C1 transfer pathway protein	Central intermediary metabolism:One-carbon metabolism	GO:0005783,GO:0016787		
532251	NP_987193.1	45357636	550	84962	86155	+	MMP0073	argG	Argininosuccinate synthase (NCBI)	COG137	E	Argininosuccinate synthase	TIGR00032 argininosuccinate synthase [argG]	Amino acid biosynthesis:Glutamate family	GO:0006526,GO:0005524,GO:0004055	6.3.4.5	Argininosuccinate synthase.
532252	NP_987194.1	45357637	550	86225	86581	+	MMP0074	MMP0074	Conserved hypothetical Archael protein (NCBI)	COG2983	S	Uncharacterized conserved protein					
532253	NP_987195.1	45357638	550	87538	86570	-	MMP0075	MMP0075	conserved hypothetical protein (NCBI)								
532254	NP_987196.1	45357639	550	87817	87608	-	MMP0076	MMP0076	conserved hypothetical protein (NCBI)	COG3269	R	Predicted RNA-binding protein, contains TRAM domain					
532255	NP_987197.1	45357640	550	87961	88689	+	MMP0077	MMP0077	conserved hypothetical protein (NCBI)	COG602	O	Organic radical activating enzymes			GO:0003824,GO:0051536		
532256	NP_987198.1	45357641	550	89550	88705	-	MMP0078	MMP0078	conserved hypothetical protein (NCBI)	COG2221	C	Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits			GO:0006118,GO:0051536,GO:0009055,GO:0016491,GO:0020037		
532257	NP_987199.1	45357642	550	89745	90362	+	MMP0079	MMP0079	Orotate phosphoribosyltransferase related protein (NCBI)	COG856	F	Orotate phosphoribosyltransferase homologs			GO:0009116,GO:0004588	2.4.2.10	Orotate phosphoribosyltransferase.
532258	NP_987200.1	45357643	550	90509	91600	+	MMP0080	MMP0080	glutamate synthase; large subunit; archaeal subunit 1 (NCBI)	COG67	E	Glutamate synthase domain 1			GO:0009113,GO:0009342,GO:0004044,GO:0004355	1.4.1.13	Glutamate synthase (NADPH).
532259	NP_987201.1	45357644	550	91628	93160	+	MMP0081	gltB	glutamate synthase; large subunit; archaeal subunit 2 (NCBI)	COG69	E	Glutamate synthase domain 2			GO:0006537,GO:0006118,GO:0006207,GO:0009342,GO:0004152,GO:0051536,GO:0004355,GO:0009055,GO:0016040	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
532260	NP_987202.1	45357645	550	93160	93951	+	MMP0082	MMP0082	glutamate synthase; large subunit; archaeal subunit 3 (NCBI)	COG70	E	Glutamate synthase domain 3			GO:0008152,GO:0016491		
532261	NP_987203.1	45357646	550	93984	95063	+	MMP0083	MMP0083	conserved archaeal protein (NCBI)	COG1035	C	Coenzyme F420-reducing hydrogenase, beta subunit			GO:0006118,GO:0051536,GO:0050454,GO:0009055		
532262	NP_987204.1	45357647	550	96094	95381	-	MMP0084	MMP0084	conserved hypothetical protein (NCBI)								
532263	NP_987205.1	45357648	550	97177	96131	-	MMP0085	MMP0085	conserved hypothetical protein (NCBI)	COG1537	R	Predicted RNA-binding proteins	TIGR00111 putative translation factor pelota	Protein synthesis:Translation factors	GO:0006412,GO:0005634		
532264	NP_987206.1	45357649	550	97641	97177	-	MMP0086	MMP0086	LuxR family member (NCBI)	COG1356	S	Uncharacterized protein conserved in archaea	TIGR00721 DNA-binding protein, Tfx family	Regulatory functions:DNA interactions	GO:0006352,GO:0006355,GO:0005622,GO:0003700,GO:0043565,GO:0003677,GO:0016987		
532265	NP_987207.1	45357650	550	98987	97761	-	MMP0087	hmgA	Hydroxymethylglutaryl-coenzyme A reductase:3-hydroxy-3-methylglutaryl Coenzyme A reductase (NCBI)	COG1257	I	Hydroxymethylglutaryl-CoA reductase	TIGR00533 hydroxymethylglutaryl-CoA reductase (NADPH) [hmgA]	Central intermediary metabolism:Other	GO:0015936,GO:0008299,GO:0016021,GO:0050661,GO:0004420	1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH).
532266	NP_987208.1	45357651	550	100125	98977	-	MMP0088	gtrA	Glutamyl-tRNA reductase (NCBI)	COG373	H	Glutamyl-tRNA reductase	TIGR01035 glutamyl-tRNA reductase [hemA]	Biosynthesis of cofactors, prosthetic groups, and carriers:Heme, porphyrin, and cobalamin	GO:0033014,GO:0005737,GO:0050661,GO:0008883,GO:0004764	1.2.1.70	Glutamyl-tRNA reductase.
532267	NP_987209.1	45357652	550	100735	100130	-	MMP0089	MMP0089	Conserved hypothetical protein (NCBI)	COG1648	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	TIGR01470 siroheme synthase, N-terminal domain	Biosynthesis of cofactors, prosthetic groups, and carriers:Heme, porphyrin, and cobalamin	GO:0006779		
532268	NP_987210.1	45357653	550	101817	100750	-	MMP0090	MMP0090	Glycosyl transferase (NCBI)	COG438	M	Glycosyltransferase			GO:0009058		
532269	NP_987211.1	45357654	550	102422	101838	-	MMP0091	MMP0091	conserved hypothetical archaeal protein (NCBI)	COG1491	J	Predicted RNA-binding protein					
532270	NP_987212.1	45357655	550	102846	102523	-	MMP0092	rpoF	DNA-directed RNA polymerase subunit F (NCBI)	COG1460	S	DNA-directed RNA polymerase, subunit F			GO:0006350,GO:0003902,GO:0003900,GO:0003899,GO:0000166,GO:0003901	2.7.7.6	DNA-directed RNA polymerase.
532271	NP_987213.1	45357656	550	103188	102895	-	MMP0093	MMP0093	Ribosomal protein L21e (NCBI)	COG2139	J	Ribosomal protein L21E			GO:0006412,GO:0005840,GO:0003735		
532272	NP_987214.1	45357657	550	104686	103274	-	MMP0094	MMP0094	Conserved hypothetical protein (NCBI)	COG1258	J	Predicted pseudouridylate synthase	TIGR01213 TIGR01213 family protein	Hypothetical proteins:Conserved			
532273	NP_987215.1	45357658	550	104708	105892	+	MMP0095	MMP0095	Conserved Hypothetical protein, PHP domain C-terminal region (NCBI)	COG1379	S	Uncharacterized conserved protein	TIGR00375 TIGR00375 family protein	Hypothetical proteins:Conserved			
532274	NP_987216.1	45357659	550	107082	105895	-	MMP0096	MMP0096	Aminotransferase (subgroup I) (NCBI)	COG1167	KE	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs			GO:0009058,GO:0016769,GO:0030170	2.6.1.-	
532275	NP_987217.1	45357660	550	107207	107755	+	MMP0097	MMP0097	Transcriptional regulator protein, Helix-turn-helix motif (NCBI)						GO:0043565		
532276	NP_987218.1	45357661	550	107983	107786	-	MMP0098	MMP0098	ferredoxin (NCBI)						GO:0006118,GO:0009055,GO:0051536		
532277	NP_987219.1	45357662	550	108126	109277	+	MMP0099	MMP0099	General substrate transporter (NCBI)	COG2271	G	Sugar phosphate permease			GO:0015904,GO:0046677,GO:0016021,GO:0015520		
532278	NP_987220.1	45357663	550	110475	109297	-	MMP0100	MMP0100	Na+/H+ exchanger family (NCBI)	COG475	P	Kef-type K+ transport systems, membrane components			GO:0006885,GO:0016021,GO:0015299		
532279	NP_987221.1	45357664	550	110975	110490	-	MMP0101	MMP0101	conserved hypothetical protein (NCBI)						GO:0008152,GO:0003824		
532280	NP_987222.1	45357665	550	111064	111702	+	MMP0102	pcm	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (NCBI)	COG2518	O	Protein-L-isoaspartate carboxylmethyltransferase	TIGR00080 protein-L-isoaspartate O-methyltransferase [pcm]	Protein fate:Protein modification and repair	GO:0006464,GO:0004719	2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase.
532281	NP_987223.1	45357666	550	111821	112720	+	MMP0103	MMP0103	conserved hypothetical protein (NCBI)	COG214	H	Pyridoxine biosynthesis enzyme	TIGR00343 pyridoxal 5'-phosphate synthase, synthase subunit Pdx1	Biosynthesis of cofactors, prosthetic groups, and carriers:Pyridoxine	GO:0008152,GO:0009228,GO:0003824	4.-.-.-	
5451350			550	112878	112951	+	RNA_2	tRNA-Thr1	tRNA-Thr (RefSeq)								
5451351			550	112998	113074	+	RNA_3	tRNA-Pro1	tRNA-Pro (RefSeq)								
5451352			550	113083	113156	+	RNA_4	tRNA-Tyr1	tRNA-Tyr (RefSeq)								
5451353			550	113173	113246	+	RNA_5	tRNA-Lys1	tRNA-Lys (RefSeq)								
5451354			550	113287	113401	+	RNA_37	rrnD5S	5S ribosomal RNA (RefSeq)								
5451355			550	113418	113492	+	RNA_6	tRNA-Asp1	tRNA-Asp (RefSeq)								
5451356			550	113526	113599	+	RNA_7	tRNA-Lys2	tRNA-Lys (RefSeq)								
5451357			550	113620	113694	+	RNA_8	tRNA-Asp2	tRNA-Asp (RefSeq)								
532290	NP_987224.1	45357667	550	113747	114364	+	MMP0104	MMP0104	polyferredoxin (NCBI)	COG1142	C	Fe-S-cluster-containing hydrogenase components 2			GO:0006118,GO:0009055,GO:0051536		
532291	NP_987225.1	45357668	550	114487	115014	+	MMP0105	MMP0105	conserved hypothetical protein (NCBI)								
532292	NP_987226.1	45357669	550	115117	115677	+	MMP0106	MMP0106	conserved hypothetical protein (NCBI)								
